venda;data_hora;cliente;mesa;item;produto;quantidade;valor_unit;desconto;total_item
9759;16/10/2022 18:27;CONSUMIDOR;M 7;45;PIZZA AL TAGLIO GORGONZOLA E;1;22;0;22
9757;16/10/2022 18:32;CONSUMIDOR;M 6;36;FOLHADO FRANGO 160G;2;14;0;28
9757;16/10/2022 18:32;CONSUMIDOR;M 6;39;MINI CROISSANT 25G;1;4,2;0;4,2
9757;16/10/2022 18:32;CONSUMIDOR;M 6;42;PASTEL DE NATA 60G;1;8,5;0;8,5
9757;16/10/2022 18:32;CONSUMIDOR;M 6;177;COCA COLA LATA 350 ML;1;6,5;0;6,5
9757;16/10/2022 18:32;CONSUMIDOR;M 6;396;ABACAXI 400 ML;1;14,5;0;14,5
9760;16/10/2022 18:36;CONSUMIDOR;M 13;51;SOURDOUGH SEMI INTEGRAL 370G;1;16,5;0;16,5
9760;16/10/2022 18:36;CONSUMIDOR;M 13;127;SANDUICHE DE VEGETAIS HOMMUS;1;26,5;0;26,5
9760;16/10/2022 18:36;CONSUMIDOR;M 13;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
9761;16/10/2022 19:19;CONSUMIDOR;M 6;32;COOKIES 80G;2;7;0;14
9761;16/10/2022 19:19;CONSUMIDOR;M 6;320;CROISSANT;2;10;0;20
9758;16/10/2022 19:34;CONSUMIDOR;M 4;33;CROISSANT  AMENDOAS 100G;1;14,8;0;14,8
9758;16/10/2022 19:34;CONSUMIDOR;M 4;320;CROISSANT;1;10;0;10
9758;16/10/2022 19:34;CONSUMIDOR;M 4;383;CAFE CATUAI VERMELHO C/LEITE P;1;10,5;0;10,5
9754;16/10/2022 19:35;CONSUMIDOR;M 3;33;CROISSANT  AMENDOAS 100G;1;14,8;0;14,8
9754;16/10/2022 19:35;CONSUMIDOR;M 3;36;FOLHADO FRANGO 160G;1;14;0;14
9754;16/10/2022 19:35;CONSUMIDOR;M 3;129;QUICHE DE FRANGO ALHO PORO;1;18,5;0;18,5
9754;16/10/2022 19:35;CONSUMIDOR;M 3;320;CROISSANT;1;10;0;10
9754;16/10/2022 19:35;CONSUMIDOR;M 3;386;CAFE COLMEIA P 70ML;3;9,5;0;28,5
9763;16/10/2022 19:51;CONSUMIDOR;M 6;45;PIZZA AL TAGLIO GORGONZOLA E;1;22;0;22
9764;16/10/2022 20:06;IFOOD;;32;COOKIES 80G;2;8;0;16
9764;16/10/2022 20:06;IFOOD;;389;PASTEL DE NATA NUTELLA;1;10,5;0;10,5
